_id;lege_id;fornavn;etternavn;spesialitet
l1;1;Claude;Walls;Internist
l2;2;Joshua;Green;Cardiologist
l3;3;Miriam;Tregre;General Surgeon
l4;4;James;Russo;Obstetrician/Gynecologist
l5;5;Scott;Hill;Gastroenterologist
l6;6;Tasha;Phillips;Psychiatrist
l7;7;Hazel;Patterson;Oncologist
l8;8;Mickey;Duval;Pediatrician
l9;9;Jon;Nelson;Neurologist
l10;10;Monica;Singleton;Orthopaedic Surgeon
l11;11;Douglas;Brooks;Respirologist
l12;12;Flora;Moore;Cardiovascular Surgeon
l13;13;Angelica;Noe;Nuclear Medicine
l14;14;Tyrone;Smart;Gerontologist
l15;15;Marie;Brinkman;Urologist
l16;16;Irene;Brooks;Gastroenterologist
l17;17;Mary;Walker;Nuclear Medicine
l18;18;Bobbi;Estrada;Gerontologist
l19;19;Stephanie;Cohen;Oncologist
l20;20;Ralph;Wilson;General Surgeon
l21;21;Lisa;Cuddy;Obstetrician/Gynecologist
l22;22;Simon;Santiago;Cardiologist
l23;23;Heather;Beck;Pediatrician
l24;24;Jenny;Pulaski;Neurologist
l25;25;Jeanette;Sites;Psychiatrist
l26;26;Larry;Miller;Cardiovascular Surgeon
l27;27;Donna;Greenwood;Respirologist
