id;status;fornavn;etternavn;tlf;landskode;adresse;gatenummer;postnummer;sted
1;1;John;Doe;12345678;47;Main St;123;1234;CityA
2;1;Jane;Doe;23456789;47;Oak St;456;5678;CityB
3;1;Alice;Johnson;34567890;47;Maple St;789;9101;CityC
4;1;Bob;Smith;45678901;47;Elm St;101;1121;CityD
5;1;Charlie;Williams;56789012;47;Cedar St;121;3141;CityE
6;1;Emma;Brown;67890123;47;Pine St;141;5161;CityF
7;1;David;Davis;78901234;47;Spruce St;161;7181;CityG
8;1;Olivia;Miller;89012345;47;Birch St;181;9201;CityH
9;1;Michael;Anderson;90123456;47;Cherry St;201;1221;CityI
10;0;Sophia;Taylor;12344321;47;Willow St;221;3241;CityJ
11;1;Robert;Martin;98765432;47;Pine St;567;7890;CityK
12;1;Emily;Moore;87654321;47;Cedar St;876;5432;CityL
13;1;James;Lee;76543210;47;Maple St;765;2109;CityM
14;1;Emma;White;65432109;47;Oak St;654;1098;CityN
15;1;William;Johnson;54321098;47;Main St;543;0987;CityO
16;1;Isabella;Harris;43210987;47;Spruce St;432;9876;CityP
17;1;Liam;Smith;32109876;47;Elm St;321;8765;CityQ
18;1;Ava;Brown;21098765;47;Cherry St;210;7654;CityR
19;1;Ethan;Jones;10987654;47;Birch St;109;6543;CityS
20;1;Amelia;Davis;98765432;47;Pine St;876;5432;CityT
21;1;Mason;Miller;87654321;47;Cedar St;765;4321;CityU
22;1;Grace;Taylor;76543210;47;Maple St;654;3210;CityV
23;1;Aiden;Anderson;65432109;47;Oak St;543;2109;CityW
24;1;Sophie;Thomas;54321098;47;Main St;432;1098;CityX
25;1;Alexander;Moore;43210987;47;Spruce St;321;0987;CityY
26;1;Ella;Clark;32109876;47;Elm St;210;9876;CityZ
27;1;Logan;Hall;21098765;47;Cherry St;109;8765;CityAA
28;1;Chloe;Young;10987654;47;Birch St;987;7654;CityAB
29;1;Lucas;Wright;98765432;47;Pine St;876;5432;CityAC
30;1;Lily;Hill;87654321;47;Cedar St;765;4321;CityAD
31;1;Jack;Wilson;76543210;47;Maple St;654;3210;CityAE
32;1;Addison;King;65432109;47;Oak St;543;2109;CityAF
33;1;Daniel;Hill;54321098;47;Main St;432;1098;CityAG
34;1;Natalie;Wilson;43210987;47;Spruce St;321;0987;CityAH
35;1;Emily;King;32109876;47;Elm St;210;9876;CityAI
36;1;Michael;Clark;21098765;47;Cherry St;109;8765;CityAJ
37;1;Olivia;Wright;10987654;47;Birch St;987;7654;CityAK
38;1;Mason;Hall;98765432;47;Pine St;876;5432;CityAL
39;1;Emma;Young;87654321;47;Cedar St;765;4321;CityAM
40;1;Sophia;Thomas;76543210;47;Maple St;654;3210;CityAN
41;1;Aiden;Moore;65432109;47;Oak St;543;2109;CityAO
42;1;Sophie;White;54321098;47;Main St;432;1098;CityAP
43;1;Alexander;Harris;43210987;47;Spruce St;321;0987;CityAQ
44;1;Ella;Smith;32109876;47;Elm St;210;9876;CityAR
45;1;Logan;Brown;21098765;47;Cherry St;109;8765;CityAS
46;1;Chloe;Davis;10987654;47;Birch St;987;7654;CityAT
47;1;Lucas;Taylor;98765432;47;Pine St;876;5432;CityAU
48;1;Lily;Anderson;87654321;47;Cedar St;765;4321;CityAV
49;1;Jack;Martin;76543210;47;Maple St;654;3210;CityAW
50;1;Addison;Miller;65432109;47;Oak St;543;2109;CityAX
51;1;Daniel;Johnson;54321098;47;Main St;432;1098;CityAY
52;1;Natalie;Lee;43210987;47;Spruce St;321;0987;CityAZ
53;1;Emily;Clark;32109876;47;Elm St;210;9876;CityBA
54;1;Michael;Young;21098765;47;Cherry St;109;8765;CityBB
55;1;Olivia;Hall;10987654;47;Birch St;987;7654;CityBC
56;1;Mason;Wilson;98765432;47;Pine St;876;5432;CityBD
57;1;Emma;King;87654321;47;Cedar St;765;4321;CityBE
58;1;Sophia;Wright;76543210;47;Maple St;654;3210;CityBF
59;1;Aiden;Hill;65432109;47;Oak St;543;2109;CityBG
60;1;Sophie;Thomas;54321098;47;Main St;432;1098;CityBH
61;1;Alexander;Moore;43210987;47;Spruce St;321;0987;CityBI
62;1;Ella;Clark;32109876;47;Elm St;210;9876;CityBJ
63;1;Logan;Hall;21098765;47;Cherry St;109;8765;CityBK
64;1;Chloe;Young;10987654;47;Birch St;987;7654;CityBL
65;1;Lucas;Wright;98765432;47;Pine St;876;5432;CityBM
66;1;Lily;Hill;87654321;47;Cedar St;765;4321;CityBN
67;1;Jack;Wilson;76543210;47;Maple St;654;3210;CityBO
68;1;Addison;King;65432109;47;Oak St;543;2109;CityBP
69;1;Daniel;Hill;54321098;47;Main St;432;1098;CityBQ
70;1;Natalie;Wilson;43210987;47;Spruce St;321;0987;CityBR
71;1;Emily;King;32109876;47;Elm St;210;9876;CityBS
72;1;Michael;Clark;21098765;47;Cherry St;109;8765;CityBT
73;1;Olivia;Wright;10987654;47;Birch St;987;7654;CityBU
74;1;Mason;Hall;98765432;47;Pine St;876;5432;CityBV
75;1;Emma;Young;87654321;47;Cedar St;765;4321;CityBW
76;1;Sophia;Thomas;76543210;47;Maple St;654;3210;CityBX
77;1;Aiden;Moore;65432109;47;Oak St;543;2109;CityBY
78;1;Sophie;White;54321098;47;Main St;432;1098;CityBZ
79;1;Alexander;Harris;43210987;47;Spruce St;321;0987;CityCA
80;1;Ella;Smith;32109876;47;Elm St;210;9876;CityCB
81;1;Logan;Brown;21098765;47;Cherry St;109;8765;CityCC
82;1;Chloe;Davis;10987654;47;Birch St;987;7654;CityCD
83;1;Lucas;Taylor;98765432;47;Pine St;876;5432;CityCE
84;1;Lily;Anderson;87654321;47;Cedar St;765;4321;CityCF
85;1;Jack;Martin;76543210;47;Maple St;654;3210;CityCG
86;1;Addison;Miller;65432109;47;Oak St;543;2109;CityCH
87;1;Daniel;Johnson;54321098;47;Main St;432;1098;CityCI
