id;fornavn;etternavn;status
1;John;Doe;0
2;Jane;Doe;0
3;Alice;Johnson;0
4;Bob;Smith;0
5;Charlie;Williams;0
6;Emma;Brown;0
7;David;Davis;0
8;Olivia;Miller;0
9;Michael;Anderson;0
10;Sophia;Taylor;0
11;Robert;Martin;1
12;Emily;Moore;1
13;James;Lee;1
14;Emma;White;1
15;William;Johnson;1
16;Isabella;Harris;1
17;Liam;Smith;1
18;Ava;Brown;1
19;Ethan;Jones;1
20;Amelia;Davis;1
21;Mason;Miller;1
22;Grace;Taylor;1
23;Aiden;Anderson;1
24;Sophie;Thomas;1
25;Alexander;Moore;1
26;Ella;Clark;1
27;Logan;Hall;1
28;Chloe;Young;1
29;Lucas;Wright;1
30;Lily;Hill;1
31;Jack;Wilson;1
32;Addison;King;1
33;Daniel;Hill;1
34;Natalie;Wilson;1
35;Emily;King;1
36;Michael;Clark;1
37;Olivia;Wright;1
38;Mason;Hall;1
39;Emma;Young;1
40;Sophia;Thomas;1
41;Aiden;Moore;1
42;Sophie;White;1
43;Alexander;Harris;1
44;Ella;Smith;1
45;Logan;Brown;1
46;Chloe;Davis;1
47;Lucas;Taylor;1
48;Lily;Anderson;1
49;Jack;Martin;1
50;Addison;Miller;1
51;Daniel;Johnson;1
52;Natalie;Lee;1
53;Emily;Clark;1
54;Michael;Young;1
55;Olivia;Hall;1
56;Mason;Wilson;1
57;Emma;King;1
58;Sophia;Wright;1
59;Aiden;Hill;1
60;Sophie;Thomas;1
61;Alexander;Moore;1
62;Ella;Clark;1
63;Logan;Hall;1
64;Chloe;Young;1
65;Lucas;Wright;1
66;Lily;Hill;1
67;Jack;Wilson;1
68;Addison;King;1
69;Daniel;Hill;1
70;Natalie;Wilson;1
71;Emily;King;1
72;Michael;Clark;1
73;Olivia;Wright;1
74;Mason;Hall;1
75;Emma;Young;1
76;Sophia;Thomas;1
77;Aiden;Moore;1
78;Sophie;White;1
79;Alexander;Harris;1
80;Ella;Smith;1
81;Logan;Brown;1
82;Chloe;Davis;1
83;Lucas;Taylor;1
84;Lily;Anderson;1
85;Jack;Martin;1
86;Addison;Miller;1
87;Daniel;Johnson;1
