tlf;landskode;id
12345678;47;1
12345679;47;2
12345680;47;3
12345681;47;4
12345682;47;5
12345683;47;6
12345684;47;7
12345685;47;8
12345686;47;9
12345687;47;10
12345688;47;11
12345689;47;12
12345690;47;13
12345691;47;14
12345692;47;15
12345693;47;16
12345694;47;17
12345695;47;18
12345696;47;19
12345697;47;20
12345698;47;21
12345699;47;22
12345700;47;23
12345701;47;24
12345702;47;25
12345703;47;26
12345704;47;27
12345705;47;28
12345706;47;29
12345707;47;30
12345708;47;31
12345709;47;32
12345710;47;33
12345711;47;34
12345712;47;35
12345713;47;36
12345714;47;37
12345715;47;38
12345716;47;39
12345717;47;40
12345718;47;41
12345719;47;42
12345720;47;43
12345721;47;44
12345722;47;45
12345723;47;46
12345724;47;47
12345725;47;48
12345726;47;49
12345727;47;50
12345728;47;51
12345729;47;52
12345730;47;53
12345731;47;54
12345732;47;55
12345733;47;56
12345734;47;57
12345735;47;58
12345736;47;59
12345737;47;60
12345738;47;61
12345739;47;62
12345740;47;63
12345741;47;64
12345742;47;65
12345743;47;66
12345744;47;67
12345745;47;68
12345746;47;69
12345747;47;70
12345748;47;71
12345749;47;72
12345750;47;73
12345751;47;74
12345752;47;75
12345753;47;76
12345754;47;77
12345755;47;78
12345756;47;79
12345757;47;80
12345758;47;81
12345759;47;82
12345760;47;83
12345761;47;84
12345762;47;85
12345763;47;86
12345764;47;87
